"","source","target","Annotation","Direction","Score"
"1894","CCL5","GNAI1","complex; input","-",1
"1895","CCL5","REL","expression regulated by","<-",1
"1896","CCL5","RELA","GErel: expression by; PPrel: activated by; expression regulated by","<-",1
"1897","CCL7","REL","predicted","-",0.54
"1898","CCL7","RELA","predicted","-",0.54
"1899","CCL8","REL","predicted","-",0.54
"1900","CCL8","RELA","predicted","-",0.54
"1901","CCM2","MAPK11","activate","->",1
"1902","CCM2","PDCD10","predicted","-",0.77
"1903","CCNA1","CDC20","predicted","-",0.64
"1904","CCNA2","SERTAD1","predicted","-",0.54
"1905","CCNB1","CDC20","PPrel: inhibited, ubiquitination; catalyze; catalyzed by; complex; input","->",1
"1906","CCNB2","CDC20","PPrel: inhibited, ubiquitination; catalyze","|->",1
"1907","CCNB3","CDC20","predicted","-",0.56
"1908","CCNC","TGS1","reaction","-",1
"1909","CCND1","MYC","GErel: expression by","<-",1
"1910","CCND1","RELA","GErel: expression by; expression regulated by","<-",1
"1911","CCND1","TEAD1","GErel: expression by","<-",1
"1912","CCND2","MYC","GErel: expression by","<-",1
"1913","CCND2","SERTAD1","predicted","-",0.64
"1914","CCND2","TEAD1","GErel: expression by","<-",1
"1915","CCND3","TEAD1","GErel: expression by","<-",1
"1916","CCNDBP1","ID2","predicted","-",0.64
"1917","CCNF","RNF213","catalyze; catalyzed by; input","<->",1
"1918","CCNH","RNGTT","complex; input","-",1
"1919","CCNT1","MYC","predicted","-",0.54
"1920","CCNT2","HLF","expression regulates","->",1
"1921","CCR1","GNAI1","PPrel: activation; complex; input","->",1
"1922","CCR10","GNAI1","PPrel: activation; complex; input","->",1
"1923","CCR2","GNAI1","PPrel: activation; complex; input","->",1
"1924","CCR3","GNAI1","PPrel: activation; complex; input","->",1
"1925","CCR4","GNAI1","PPrel: activation; complex; input","->",1
"1926","CCR5","GNAI1","PPrel: activation; complex; input","->",1
"1927","CCR5","PTK2B","predicted","-",0.64
"1928","CCR5","RELA","expression regulated by","<-",1
"1929","CCR6","GNAI1","PPrel: activation; complex; input","->",1
"1930","CCR7","GNAI1","PPrel: activation; complex; input","->",1
"1931","CCR8","GNAI1","PPrel: activation; complex; input","->",1
"1932","CCR9","GNAI1","PPrel: activation; complex; input","->",1
"1933","CCT2","CDC20","predicted","-",0.73
"1934","CCT2","HSPA4","predicted","-",0.64
"1935","CCT2","MYC","expression regulated by","<-",1
"1936","CCT3","CDC20","predicted","-",0.73
"1937","CCT4","CDC20","predicted","-",0.73
"1938","CCT5","CDC20","predicted","-",0.99
"1939","CCT8","CDC20","predicted","-",0.73
"1940","CD14","LBP","input","-",1
"1941","CD14","LY86","inhibited by","|-",1
"1942","CD14","RELA","PPrel: activation, indirect effect","->",1
"1943","CD151","LAMC2","complex; input","-",1
"1944","CD163","HBA1","complex; input","-",1
"1945","CD164","HOXA1","predicted","-",0.64
"1946","CD177","PRTN3","complex","-",1
"1947","CD180","LY86","complex","-",1
"1948","CD2","LGALS1","predicted","-",0.64
"1949","CD244","SH2D1B","PPrel: activation","->",1
"1950","CD247","GNAI1","inhibited by","|-",1
"1951","CD247","IL2RB","activate","->",1
"1952","CD274","RELA","GErel: expression by","<-",1
"1953","CD2BP2","CPSF1","complex; input","-",1
"1954","CD38","TPCN1","PPrel: compound","-",1
"1955","CD3D","GNAI1","inhibited by","|-",1
"1956","CD3D","IL2RB","activate","->",1
"1957","CD3E","GNAI1","inhibited by","|-",1
"1958","CD3E","IL2RB","activate","->",1
"1959","CD3E","LGALS1","predicted","-",0.64
"1960","CD3G","GNAI1","inhibited by","|-",1
"1961","CD3G","IL2RB","activate","->",1
"1962","CD4","GNAI1","inhibited by","|-",1
"1963","CD4","LGALS1","predicted","-",0.64
"1964","CD40","MAPK11","activate","->",1
"1965","CD40","REL","predicted","-",0.98
"1966","CD40","RELA","GErel: expression by; activate; inhibit","<-",1
"1967","CD40LG","MAPK11","activate","->",1
"1968","CD40LG","REL","expression regulated by","<-",1
"1969","CD40LG","RELA","activate; expression regulated by; inhibit","<-",1
"1970","CD44","LAMC1","PPrel: activated by","<-",1
"1971","CD44","LAMC2","PPrel: activated by","<-",1
"1972","CD44","RELA","GErel: expression by","<-",1
"1973","CD47","PTK2B","complex; input","-",1
"1974","CD58","RELA","GErel: expression by","<-",1
"1975","CD84","SH2D1B","predicted","-",0.99
"1976","CD8A","IL2RB","activate","->",1
"1977","CD8B","IL2RB","activate","->",1
"1978","CDC16","CDC20","PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input; predicted","<->",1
"1979","CDC16","PPP3R2","PPrel: activated by, dephosphorylation","<-",1
"1980","CDC16","RELA","reaction","-",1
"1981","CDC20","CDC20B","predicted","-",0.99
"1982","CDC20","CDC23","PPrel: activation, indirect effect; catalyze; catalyzed by; complex; input","<->",1
"1983","CDC20","CDC25B","predicted","-",0.98
"1984","CDC20","CDC26","PPrel: activation, indirect effect; catalyze; catalyzed by; complex; input","<->",1
"1985","CDC20","CDC27","PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input; predicted","<->",1
"1986","CDC20","CDC42","complex; input; reaction","-",1
"1987","CDC20","CDC6","predicted","-",0.98
"1988","CDC20","CDCA5","complex; input","-",1
"1989","CDC20","CDCA8","complex; input","-",1
"1990","CDC20","CDK1","catalyze; catalyzed by; complex; input; predicted","<->",1
"1991","CDC20","CDK3","predicted","-",0.99
"1992","CDC20","CDT1","predicted","-",0.98
"1993","CDC20","CENPA","complex; input","-",1
"1994","CDC20","CENPE","complex; input","-",1
"1995","CDC20","CENPF","complex; input","-",1
"1996","CDC20","CENPH","complex; input","-",1
"1997","CDC20","CENPI","complex; input","-",1
"1998","CDC20","CENPK","complex; input","-",1
"1999","CDC20","CENPL","complex; input","-",1
"2000","CDC20","CENPM","complex; input","-",1
"2001","CDC20","CENPN","complex; input","-",1
"2002","CDC20","CENPO","complex; input","-",1
"2003","CDC20","CENPP","complex; input","-",1
"2004","CDC20","CENPQ","complex; input","-",1
"2005","CDC20","CENPT","complex; input","-",1
"2006","CDC20","CHFR","predicted","-",0.64
"2007","CDC20","CHN1","predicted","-",0.64
"2008","CDC20","CHN2","predicted","-",0.64
"2009","CDC20","CKAP5","complex; input","-",1
"2010","CDC20","CKS1B","predicted","-",0.98
"2011","CDC20","CKS2","predicted","-",0.98
"2012","CDC20","CLASP1","complex; input","-",1
"2013","CDC20","CLASP2","complex; input","-",1
"2014","CDC20","CLIP1","complex; input","-",1
"2015","CDC20","CUL1","catalyzed by; complex; input","<-",1
"2016","CDC20","DIAPH2","complex; input; reaction","-",1
"2017","CDC20","DSN1","complex; input","-",1
"2018","CDC20","DYNC1H1","complex; input","-",1
"2019","CDC20","DYNC1I1","complex; input","-",1
"2020","CDC20","DYNC1I2","complex; input","-",1
"2021","CDC20","DYNC1LI1","complex; input","-",1
"2022","CDC20","DYNC1LI2","complex; input","-",1
"2023","CDC20","DYNLL1","complex; input","-",1
"2024","CDC20","DYNLL2","complex; input","-",1
"2025","CDC20","DYNLT1","predicted","-",0.56
"2026","CDC20","E2F1","predicted","-",0.58
"2027","CDC20","EML4","complex; input","-",1
"2028","CDC20","ERCC6L","complex; input","-",1
"2029","CDC20","ESPL1","catalyzed by","<-",1
"2030","CDC20","EZH2","predicted","-",0.92
"2031","CDC20","FBXO43","PPrel: inhibited by","|-",1
"2032","CDC20","FBXO5","PPrel: inhibited by; complex; input","|-",1
"2033","CDC20","FBXW5","predicted","-",0.64
"2034","CDC20","FZR1","PPrel: activation, indirect effect; complex; input; predicted","->",1
"2035","CDC20","GMNN","predicted","-",0.58
"2036","CDC20","GRLF1","predicted","-",0.64
"2037","CDC20","HDAC1","predicted","-",0.64
"2038","CDC20","HDAC2","predicted","-",0.98
"2039","CDC20","HECW2","predicted","-",0.64
"2040","CDC20","HSF1","predicted","-",0.64
"2041","CDC20","HSPA9","predicted","-",0.73
"2042","CDC20","HSPD1","predicted","-",0.73
"2043","CDC20","HUWE1","predicted","-",0.64
"2044","CDC20","INCENP","complex; input","-",1
"2045","CDC20","ITGB3BP","complex; input","-",1
"2046","CDC20","KIF11","predicted","-",0.97
"2047","CDC20","KIF18A","complex; input","-",1
"2048","CDC20","KIF2A","complex; input","-",1
"2049","CDC20","KIF2B","complex; input","-",1
"2050","CDC20","KIF2C","complex; input","-",1
"2051","CDC20","KNTC1","complex; input","-",1
"2052","CDC20","MAD1L1","complex; input","-",1
"2053","CDC20","MAD2L1","PPrel: inhibited by; catalyze; catalyzed by; complex; input","->",1
"2054","CDC20","MAD2L2","predicted","-",1
"2055","CDC20","MAPRE1","complex; input","-",1
"2056","CDC20","MIS12","complex; input","-",1
"2057","CDC20","MNAT1","predicted","-",1
"2058","CDC20","MXI1","predicted","-",0.58
"2059","CDC20","NDC80","complex; input","-",1
"2060","CDC20","NDE1","complex; input","-",1
"2061","CDC20","NDEL1","complex; input","-",1
"2062","CDC20","NEK2","complex; input","-",1
"2063","CDC20","NEUROD2","predicted","-",0.54
"2064","CDC20","NSL1","complex; input","-",1
"2065","CDC20","NUDC","complex; input","-",1
"2066","CDC20","NUF2","complex; input","-",1
"2067","CDC20","NUP107","complex; input","-",1
"2068","CDC20","NUP133","complex; input","-",1
"2069","CDC20","NUP160","complex; input","-",1
"2070","CDC20","NUP37","complex; input","-",1
"2071","CDC20","NUP43","complex; input","-",1
"2072","CDC20","NUP85","complex; input","-",1
"2073","CDC20","NUP98","complex; input","-",1
"2074","CDC20","PAFAH1B1","complex; input","-",1
"2075","CDC20","PCNA","predicted","-",0.58
"2076","CDC20","PDS5A","complex; input","-",1
"2077","CDC20","PDS5B","complex; input","-",1
"2078","CDC20","PLK1","activated by; catalyzed by; complex; input; predicted","<-",1
"2079","CDC20","PMF1","complex; input","-",1
"2080","CDC20","PPP1CC","complex; input","-",1
"2081","CDC20","PPP3CA","PPrel: activated by, dephosphorylation","<-",1
"2082","CDC20","PPP3CB","PPrel: activated by, dephosphorylation","<-",1
"2083","CDC20","PPP3CC","PPrel: activated by, dephosphorylation","<-",1
"2084","CDC20","PPP3R1","PPrel: activated by, dephosphorylation","<-",1
"2085","CDC20","PPP3R2","PPrel: activated by, dephosphorylation","<-",1
"2086","CDC20","PSMA1","catalyzed by","<-",1
"2087","CDC20","PSMA2","catalyzed by","<-",1
"2088","CDC20","PSMA3","catalyzed by","<-",1
"2089","CDC20","PSMA4","catalyzed by","<-",1
"2090","CDC20","PSMA5","catalyzed by","<-",1
"2091","CDC20","PSMA6","catalyzed by","<-",1
"2092","CDC20","PSMA7","catalyzed by","<-",1
"2093","CDC20","PSMA8","catalyzed by","<-",1
"2094","CDC20","PSMB1","catalyzed by","<-",1
"2095","CDC20","PSMB10","catalyzed by","<-",1
"2096","CDC20","PSMB11","catalyzed by","<-",1
"2097","CDC20","PSMB2","catalyzed by","<-",1
"2098","CDC20","PSMB3","catalyzed by","<-",1
"2099","CDC20","PSMB4","catalyzed by","<-",1
"2100","CDC20","PSMB5","catalyzed by","<-",1
"2101","CDC20","PSMB6","catalyzed by","<-",1
"2102","CDC20","PSMB7","catalyzed by","<-",1
"2103","CDC20","PSMB8","catalyzed by","<-",1
"2104","CDC20","PSMB9","catalyzed by","<-",1
"2105","CDC20","PSMC1","catalyzed by","<-",1
"2106","CDC20","PSMC2","catalyzed by","<-",1
"2107","CDC20","PSMC3","catalyzed by","<-",1
"2108","CDC20","PSMC4","catalyzed by","<-",1
"2109","CDC20","PSMC5","catalyzed by","<-",1
"2110","CDC20","PSMC6","catalyzed by","<-",1
"2111","CDC20","PSMD1","catalyzed by","<-",1
"2112","CDC20","PSMD10","catalyzed by","<-",1
"2113","CDC20","PSMD11","catalyzed by","<-",1
"2114","CDC20","PSMD12","catalyzed by","<-",1
"2115","CDC20","PSMD13","catalyzed by","<-",1
"2116","CDC20","PSMD14","catalyzed by","<-",1
"2117","CDC20","PSMD2","catalyzed by","<-",1
"2118","CDC20","PSMD3","catalyzed by","<-",1
"2119","CDC20","PSMD4","catalyzed by","<-",1
"2120","CDC20","PSMD5","catalyzed by","<-",1
"2121","CDC20","PSMD6","catalyzed by","<-",1
"2122","CDC20","PSMD7","catalyzed by","<-",1
"2123","CDC20","PSMD8","catalyzed by","<-",1
"2124","CDC20","PSMD9","catalyzed by","<-",1
"2125","CDC20","PSME1","catalyzed by","<-",1
"2126","CDC20","PSME2","catalyzed by","<-",1
"2127","CDC20","PSME3","catalyzed by","<-",1
"2128","CDC20","PSME4","catalyzed by","<-",1
"2129","CDC20","PSMF1","catalyzed by","<-",1
"2130","CDC20","PTTG1","PPrel: inhibition, ubiquitination; catalyze; complex; input","-",1
"2131","CDC20","PTTG2","PPrel: inhibition, ubiquitination","-|",1
"2132","CDC20","RAD21","complex; input","-",1
"2133","CDC20","RAE1","predicted","-",0.96
"2134","CDC20","RANBP2","complex; input","-",1
"2135","CDC20","RANGAP1","complex; input","-",1
"2136","CDC20","RCC2","complex; input","-",1
"2137","CDC20","RNF34","predicted","-",0.64
"2138","CDC20","RPL23","predicted","-",0.64
"2139","CDC20","RPS27","complex; input","-",1
"2140","CDC20","RPS27A","catalyze; complex; input","->",1
"2141","CDC20","RPS3","predicted","-",0.64
"2142","CDC20","SEC13","complex; input","-",1
"2143","CDC20","SEH1L","complex; input","-",1
"2144","CDC20","SIRT2","predicted","-",0.77
"2145","CDC20","SKA1","complex; input","-",1
"2146","CDC20","SKA2","complex; input","-",1
"2147","CDC20","SKP1","catalyzed by; complex; input","<-",1
"2148","CDC20","SMC1A","complex; input","-",1
"2149","CDC20","SMC3","complex; input","-",1
"2150","CDC20","SPC24","complex; input","-",1
"2151","CDC20","SPC25","complex; input","-",1
"2152","CDC20","STAG1","complex; input","-",1
"2153","CDC20","STAG2","complex; input","-",1
"2154","CDC20","SYDE1","predicted","-",0.64
"2155","CDC20","SYDE2","predicted","-",0.64
"2156","CDC20","TAOK1","complex; input","-",1
"2157","CDC20","TCP1","predicted","-",0.99
"2158","CDC20","TFDP1","predicted","-",0.58
"2159","CDC20","TGFBR1","predicted","-",0.64
"2160","CDC20","TTK","predicted","-",0.97
"2161","CDC20","TUBA1A","predicted","-",0.64
"2162","CDC20","TUBA1C","predicted","-",0.64
"2163","CDC20","TUBB","predicted","-",0.64
"2164","CDC20","TUBG1","predicted","-",0.99
"2165","CDC20","UBA52","catalyze; complex; input","->",1
"2166","CDC20","UBB","catalyze; complex; input","->",1
"2167","CDC20","UBC","catalyze; complex; input","->",1
"2168","CDC20","UBE2C","catalyze; catalyzed by; complex; input","<->",1
"2169","CDC20","UBE2D1","catalyze; catalyzed by; complex; input","<->",1
"2170","CDC20","UBE2E1","catalyze; catalyzed by; complex; input","<->",1
"2171","CDC20","UBE2S","predicted","-",0.98
"2172","CDC20","USP44","complex","-",1
"2173","CDC20","XPO1","complex; input","-",1
"2174","CDC20","ZW10","complex; input","-",1
"2175","CDC20","ZWILCH","complex; input","-",1
"2176","CDC20","ZWINT","complex; input","-",1
"2177","CDC20B","SYDE2","predicted","-",0.64
"2178","CDC23","PPP3R2","PPrel: activated by, dephosphorylation","<-",1
"2179","CDC23","RELA","reaction","-",1
"2180","CDC25B","MAPK11","PPrel: phosphorylated by; activated by","<-",1
"2181","CDC25B","TESK2","predicted","-",0.64
"2182","CDC25C","MAPK11","PPrel: activated by, phosphorylation","<-",1
"2183","CDC25C","SPDYE1","PPrel: activated by, phosphorylation","<-",1
"2184","CDC25C","TESK2","predicted","-",0.64
"2185","CDC26","PPP3R2","PPrel: activated by, dephosphorylation","<-",1
"2186","CDC26","RELA","reaction","-",1
"2187","CDC27","PPP3R2","PPrel: activated by, dephosphorylation","<-",1
"2188","CDC27","RELA","reaction","-",1
"2189","CDC40","CPSF1","complex; input","-",1
"2190","CDC42","DCC","activated by; catalyzed by; complex; input","<-",1
"2191","CDC42","GNAI1","activated by","<-",1
"2192","CDC42","GRIK5","catalyzed by","<-",1
"2193","CDC42","LAMC1","activated by","<-",1
"2194","CDC42","LAMC2","activated by","<-",1
"2195","CDC42","MAPK11","PPrel: activation; PPrel: activation, indirect effect; activate; catalyze; complex; input","->",1
"2196","CDC42","PLEKHG5","catalyzed by","<-",1
"2197","CDC42","RASGRF2","catalyzed by","<-",1
"2198","CDC42","SYDE2","catalyzed by","<-",1
"2199","CDC42BPA","CDC42BPB","predicted","-",0.64
"2200","CDC42BPB","GSK3A","predicted","-",0.97
"2201","CDC42BPB","GSK3B","predicted","-",0.97
"2202","CDC42BPB","ITGB1BP1","predicted","-",0.54
"2203","CDC42BPB","MAP2K5","predicted","-",0.98
"2204","CDC42BPB","MYO18A","predicted","-",0.64
"2205","CDC42BPB","NPM1","predicted","-",0.54
"2206","CDC42BPB","NTRK1","predicted","-",0.64
"2207","CDC42BPB","RAC1","predicted","-",0.97
"2208","CDC42BPB","RAC3","predicted","-",0.97
"2209","CDC42BPB","RACGAP1","predicted","-",0.97
"2210","CDC42BPB","RAF1","predicted","-",0.54
"2211","CDC42BPB","RHOA","predicted","-",1
"2212","CDC42BPB","RHOB","predicted","-",1
"2213","CDC42BPB","RHOC","predicted","-",1
"2214","CDC42BPB","RND3","predicted","-",0.97
"2215","CDC42BPB","TJP1","predicted","-",0.64
"2216","CDC5L","CPSF1","complex; input","-",1
"2217","CDC6","MYC","predicted","-",0.64
"2218","CDC73","CPSF1","predicted","-",0.64
"2219","CDCA7L","MYC","predicted","-",0.64
"2220","CDH1","KRT18","predicted","-",0.65
"2221","CDH1","MMP16","catalyzed by","<-",1
"2222","CDH1","MMP20","catalyzed by","<-",1
"2223","CDH1","PCDHA11","input","-",1
"2224","CDH1","PCDHA3","input","-",1
"2225","CDH1","PCDHB10","input","-",1
"2226","CDH1","PCDHGC5","input","-",1
"2227","CDH1","PTPRT","predicted","-",0.54
"2228","CDH10","CDH6","predicted","-",0.98
"2229","CDH13","PCDHA11","input","-",1
"2230","CDH13","PCDHA3","input","-",1
"2231","CDH13","PCDHB10","input","-",1
"2232","CDH13","PCDHGC5","input","-",1
"2233","CDH15","MAPK11","complex; input","-",1
"2234","CDH15","PCDHA11","input","-",1
"2235","CDH15","PCDHA3","input","-",1
"2236","CDH15","PCDHB10","input","-",1
"2237","CDH15","PCDHGC5","input","-",1
"2238","CDH16","PCDHA11","input","-",1
"2239","CDH16","PCDHA3","input","-",1
"2240","CDH16","PCDHB10","input","-",1
"2241","CDH16","PCDHGC5","input","-",1
"2242","CDH17","PCDHA11","input","-",1
"2243","CDH17","PCDHA3","input","-",1
"2244","CDH17","PCDHB10","input","-",1
"2245","CDH17","PCDHGC5","input","-",1
"2246","CDH18","CDH6","predicted","-",0.98
"2247","CDH19","CDH6","predicted","-",0.98
"2248","CDH19","PCDHA11","input","-",1
"2249","CDH19","PCDHA3","input","-",1
"2250","CDH19","PCDHB10","input","-",1
"2251","CDH19","PCDHGC5","input","-",1
"2252","CDH2","MAPK11","complex; input","-",1
"2253","CDH2","PTPRT","predicted","-",0.54
"2254","CDH22","PCDHA11","input","-",1
"2255","CDH22","PCDHA3","input","-",1
"2256","CDH22","PCDHB10","input","-",1
"2257","CDH22","PCDHGC5","input","-",1
"2258","CDH23","PCDHA11","input","-",1
"2259","CDH23","PCDHA3","input","-",1
"2260","CDH23","PCDHB10","input","-",1
"2261","CDH23","PCDHGC5","input","-",1
"2262","CDH3","MMP16","catalyzed by","<-",1
"2263","CDH3","MMP20","catalyzed by","<-",1
"2264","CDH3","PCDHA11","input","-",1
"2265","CDH3","PCDHA3","input","-",1
"2266","CDH3","PCDHB10","input","-",1
"2267","CDH3","PCDHGC5","input","-",1
"2268","CDH5","PCDHA11","input","-",1
"2269","CDH5","PCDHA3","input","-",1
"2270","CDH5","PCDHB10","input","-",1
"2271","CDH5","PCDHGC5","input","-",1
"2272","CDH5","PTPRT","predicted","-",0.54
"2273","CDH6","CDH7","predicted","-",0.98
"2274","CDH6","CDH9","predicted","-",0.98
"2275","CDH6","CTNNA1","complex; input","-",1
"2276","CDH6","CTNNA2","complex","-",1
"2277","CDH6","CTNNA3","complex","-",1
"2278","CDH6","CTNNAL1","complex","-",1
"2279","CDH6","CTNNB1","complex","-",1
"2280","CDH6","CTNND1","complex; input","-",1
"2281","CDH6","JUP","complex; input","-",1
"2282","CDHR1","PCDHA11","input","-",1
"2283","CDHR1","PCDHA3","input","-",1
"2284","CDHR1","PCDHB10","input","-",1
"2285","CDHR1","PCDHGC5","input","-",1
"2286","CDHR2","PCDHA11","input","-",1
"2287","CDHR2","PCDHA3","input","-",1
"2288","CDHR2","PCDHB10","input","-",1
"2289","CDHR2","PCDHGC5","input","-",1
"2290","CDIPT","PLCE1","ECrel: compound","-",1
"2291","CDK1","SPDYE1","PPrel: activated by; complex","<-",1
"2292","CDK16","TESK2","predicted","-",0.64
"2293","CDK19","TGS1","reaction","-",1
"2294","CDK2","SPDYE1","PPrel: activated by","<-",1
"2295","CDK4","MYC","GErel: expression by; expression regulated by","<-",1
"2296","CDK4","PLEKHG5","activated by; complex","<-",1
"2297","CDK4","RELA","GErel: expression by","<-",1
"2298","CDK4","SERTAD1","predicted","-",0.64
"2299","CDK5RAP3","RELA","predicted","-",0.64
"2300","CDK6","MYC","GErel: expression by","<-",1
"2301","CDK7","RNGTT","complex; input","-",1
"2302","CDK8","TGS1","reaction","-",1
"2303","CDK9","MYC","predicted","-",0.54
"2304","CDK9","NR2E3","predicted","-",0.64
"2305","CDKN2A","MAPK11","PPrel: activated by, phosphorylation","<-",1
"2306","CDKN2A","MYC","PPrel: activated by; complex; input","<-",1
"2307","CDKN2B","MYC","PPrel: inhibited by","|-",1
"2308","CDKN2D","MYC","expression regulated by","<-",1
"2309","CDO1","CYP17A1","predicted","-",0.64
"2310","CDON","MAPK11","complex; input","-",1
"2311","CDON","NTN3","complex; input","-",1
"2312","CDON","SMO","reaction","-",1
"2313","CDR2","MYC","predicted","-",0.77
"2314","CEACAM1","CEACAM5","predicted","-",0.64
"2315","CEACAM5","CEACAM6","predicted","-",1
"2316","CEACAM5","EP300","expression regulated by","<-",1
"2317","CEACAM5","GPLD1","catalyzed by","<-",1
"2318","CEACAM5","MEF2A","expression regulated by","<-",1
"2319","CEACAM5","MEF2C","expression regulated by","<-",1
"2320","CEACAM5","NFKB1","expression regulated by","<-",1
"2321","CEACAM5","PTPRH","predicted","-",0.97
"2322","CEACAM5","SELE","predicted","-",0.64
"2323","CEACAM5","SHC1","predicted","-",0.54
"2324","CEACAM5","SHC4","predicted","-",0.54
"2325","CEACAM5","SIN3A","expression regulated by","<-",1
"2326","CEACAM5","SP1","expression regulated by","<-",1
"2327","CEACAM5","USF1","expression regulated by","<-",1
"2328","CEACAM5","USF2","expression regulated by","<-",1
"2329","CEBPA","IL5","expression regulates","->",1
"2330","CEBPA","MAPK11","activated by","<-",1
"2331","CEBPA","MYC","predicted","-",0.54
"2332","CEBPA","NOS2","expression regulates","->",1
"2333","CEBPA","RELA","activate; inhibited by","|->",1
"2334","CEBPB","F8","expression regulates","->",1
"2335","CEBPB","HLF","expression regulates","->",1
"2336","CEBPB","ID1","expression regulates","->",1
"2337","CEBPB","IL5","expression regulates","->",1
"2338","CEBPB","LY86","expression regulates","->",1
"2339","CEBPB","MAPK11","PPrel: activated by; activated by","<-",1
"2340","CEBPB","MYC","predicted","-",0.54
"2341","CEBPB","NOS2","predicted","-",0.54
"2342","CEBPB","REL","predicted","-",0.64
"2343","CEBPB","RELA","GErel: expression by; activate; complex; inhibited by; input","->",1
"2344","CEBPD","RELA","activate; inhibited by","|->",1
"2345","CEBPE","MYC","expression regulates","->",1
"2346","CEBPG","HLF","predicted","-",0.98
"2347","CEBPG","MYC","predicted","-",0.54
"2348","CEBPG","RELA","GErel: expression by","<-",1
"2349","CEBPZ","MYC","predicted","-",0.64
"2350","CELSR1","PCDHA11","input","-",1
"2351","CELSR1","PCDHA3","input","-",1
"2352","CELSR1","PCDHB10","input","-",1
"2353","CELSR1","PCDHGC5","input","-",1
"2354","CELSR2","PCDHA11","input","-",1
"2355","CELSR2","PCDHA3","input","-",1
"2356","CELSR2","PCDHB10","input","-",1
"2357","CELSR2","PCDHGC5","input","-",1
"2358","CELSR3","PCDHA11","input","-",1
"2359","CELSR3","PCDHA3","input","-",1
"2360","CELSR3","PCDHB10","input","-",1
"2361","CELSR3","PCDHGC5","input","-",1
"2362","CENPA","HIST1H4G","predicted","-",1
"2363","CER1","FZD10","inhibit","-|",1
"2364","CER1","FZD3","inhibit","-|",1
"2365","CER1","WNT3","PPrel: inhibition; inhibit","-|",1
"2366","CFDP1","ID2","predicted","-",0.64
"2367","CFHR1","LBP","predicted","-",0.64
"2368","CFL1","TESK2","predicted","-",0.64
"2369","CFLAR","RELA","GErel: expression by","<-",1
"2370","CFTR","RELA","expression regulated by","<-",1
"2371","CGGBP1","REL","predicted","-",0.64
"2372","CGREF1","MYC","expression regulated by","<-",1
"2373","CHAF1A","HIST1H4G","predicted","-",0.54
"2374","CHAF1B","HIST1H4G","predicted","-",0.99
"2375","CHCHD2","REL","predicted","-",0.64
"2376","CHD3","NR2E1","reaction","-",1
"2377","CHD4","MYC","predicted","-",0.77
"2378","CHD4","NR2E1","reaction","-",1
"2379","CHERP","CPSF1","complex; input","-",1
"2380","CHGB","FAM20A","activated by","<-",1
"2381","CHGB","FAM20C","activated by; catalyze; catalyzed by; complex; input","<->",1
"2382","CHGB","PKN2","predicted","-",0.64
"2383","CHGB","RAC2","predicted","-",0.64
"2384","CHRM1","GNAI1","PPrel: activation; complex; input","->",1
"2385","CHRM1","LAMC1","complex; reaction","-",1
"2386","CHRM1","LAMC2","complex; reaction","-",1
"2387","CHRM2","GNAI1","PPrel: activation; complex; input","->",1
"2388","CHRM3","GNAI1","complex; input","-",1
"2389","CHRM4","GNAI1","PPrel: activation; complex; input","->",1
"2390","CHRM5","GNAI1","complex; input","-",1
"2391","CHRNA1","LAMC1","complex; reaction","-",1
"2392","CHRNA1","LAMC2","complex; reaction","-",1
"2393","CHRNA7","MAPK11","activate","->",1
"2394","CHUK","MYC","predicted","-",0.64
"2395","CHUK","REL","catalyze","->",1
"2396","CHUK","RELA","PPrel: activation; PPrel: activation, indirect effect; PPrel: indirect effect; activate; catalyze","->",1
"2397","CHUK","TNIP2","catalyze","->",1
"2398","CIC","NR2E3","predicted","-",0.5
"2399","CIC","TLE2","predicted","-",0.56
"2400","CIITA","MYC","predicted","-",0.64
"2401","CISH","IL2RB","complex; reaction","-",1
"2402","CITED1","TLE2","predicted","-",0.54
"2403","CITED2","RELA","activate; inhibited by","|->",1
"2404","CITED2","TLE2","predicted","-",0.54
"2405","CKMT1A","EPHX1","predicted","-",0.78
"2406","CKMT1A","GPD1L","predicted","-",0.78
"2407","CKMT1A","PGAM1","predicted","-",0.78
"2408","CKMT1A","PGK1","predicted","-",0.56
"2409","CKMT1A","PGK2","predicted","-",0.56
"2410","CKMT2","TPM2","predicted","-",0.56
"2411","CKS1B","MYC","GErel: expression by","<-",1
"2412","CKS2","MYC","GErel: expression by","<-",1
"2413","CLCC1","GABRE","predicted","-",0.64
"2414","CLDN1","OCLN","predicted","-",0.64
"2415","CLDN22","GATA4","GErel: expression by","<-",1
"2416","CLDN22","PARD3","PPrel: binding/association","-",1
"2417","CLDN22","TJP1","PPrel: binding/association","-",1
"2418","CLDN22","TJP3","PPrel: binding/association","-",1
"2419","CLDN6","OCLN","predicted","-",0.64
"2420","CLEC7A","OCLN","predicted","-",0.64
"2421","CLIP1","DNAH5","complex; input","-",1
"2422","CLIP3","CYLD","activate; complex; inhibited by; input","|->",1
"2423","CLIP3","FADD","predicted","-",0.64
"2424","CLIP3","RIPK1","activate; complex; input","->",1
"2425","CLIP3","TNF","activate; complex; input","->",1
"2426","CLIP3","TNFAIP3","activate","->",1
