"source"	"target"	"Annotation"	"Direction"	"Score"
"CALM3"	"JAK2"	"activated by"	"<-"	1
"CALM3"	"MBP"	"predicted"	"-"	0.64
"CALM3"	"MYH11"	"reaction"	"-"	1
"CALM3"	"PHKB"	"PPrel: binding/association; complex"	"-"	1
"CALM3"	"PRKACB"	"PPrel: activated by, phosphorylation; catalyzed by"	"<-"	1
"CALML3"	"CAMK2G"	"PPrel: activation; PPrel: binding/association"	"->"	1
"CALML3"	"PHKB"	"PPrel: binding/association; complex"	"-"	1
"CALML3"	"PRKACB"	"PPrel: activated by, phosphorylation"	"<-"	1
"CALML4"	"CAMK2G"	"PPrel: activation; PPrel: binding/association"	"->"	1
"CALML4"	"PHKB"	"PPrel: binding/association; complex"	"-"	1
"CALML4"	"PRKACB"	"PPrel: activated by, phosphorylation"	"<-"	1
"CALML5"	"CAMK2G"	"PPrel: activation; PPrel: binding/association"	"->"	1
"CALML5"	"PHKB"	"PPrel: binding/association; complex"	"-"	1
"CALML5"	"PRKACB"	"PPrel: activated by, phosphorylation"	"<-"	1
"CALML6"	"CAMK2G"	"PPrel: activation; PPrel: binding/association"	"->"	1
"CALML6"	"PHKB"	"PPrel: binding/association; complex"	"-"	1
"CALML6"	"PRKACB"	"PPrel: activated by, phosphorylation"	"<-"	1
"CAMK1"	"PPP2CA"	"predicted"	"-"	0.64
"CAMK2A"	"CAMK2G"	"complex; input"	"-"	1
"CAMK2A"	"JAK1"	"activated by; catalyze"	"<->"	1
"CAMK2A"	"JAK2"	"activated by; catalyze"	"<->"	1
"CAMK2A"	"SRC"	"catalyzed by"	"<-"	1
"CAMK2B"	"CAMK2G"	"activate; complex; input"	"->"	1
"CAMK2B"	"JAK1"	"activated by; catalyze"	"<->"	1
"CAMK2B"	"JAK2"	"activated by; catalyze"	"<->"	1
"CAMK2B"	"PHKB"	"predicted"	"-"	0.64
"CAMK2B"	"SRC"	"catalyzed by"	"<-"	1
"CAMK2D"	"JAK1"	"activated by; catalyze"	"<->"	1
"CAMK2D"	"JAK2"	"activated by; catalyze"	"<->"	1
"CAMK2D"	"PTEN"	"predicted"	"-"	0.56
"CAMK2G"	"CDC25C"	"PPrel: inhibition, phosphorylation"	"-|"	1
"CAMK2G"	"CREB1"	"PPrel: activation; PPrel: activation, phosphorylation; activate"	"->"	1
"CAMK2G"	"CREB3"	"PPrel: activation; PPrel: activation, phosphorylation"	"->"	1
"CAMK2G"	"CREB3L1"	"PPrel: activation; PPrel: activation, phosphorylation"	"->"	1
"CAMK2G"	"CREB3L2"	"PPrel: activation; PPrel: activation, phosphorylation"	"->"	1
"CAMK2G"	"CREB3L3"	"PPrel: activation; PPrel: activation, phosphorylation"	"->"	1
"CAMK2G"	"CREB3L4"	"PPrel: activation; PPrel: activation, phosphorylation"	"->"	1
"CAMK2G"	"CREB5"	"PPrel: activation; PPrel: activation, phosphorylation"	"->"	1
"CAMK2G"	"CREBBP"	"PPrel: activation"	"->"	1
"CAMK2G"	"CYBB"	"PPrel: activated by"	"<-"	1
"CAMK2G"	"DKFZP686N2325"	"PPrel: activation; PPrel: activation, phosphorylation"	"->"	1
"CAMK2G"	"DLG1"	"catalyze; complex; input"	"->"	1
"CAMK2G"	"DLG2"	"complex; input"	"-"	1
"CAMK2G"	"DLG3"	"complex; input"	"-"	1
"CAMK2G"	"DLG4"	"catalyze; complex; input"	"->"	1
"CAMK2G"	"EGFR"	"predicted"	"-"	0.64
"CAMK2G"	"EP300"	"PPrel: activation"	"->"	1
"CAMK2G"	"EPB41L1"	"catalyze"	"->"	1
"CAMK2G"	"ETS1"	"activate"	"->"	1
"CAMK2G"	"FBXO43"	"PPrel: inhibition, phosphorylation"	"-|"	1
"CAMK2G"	"FGF11"	"activated by; inhibit"	"<-|"	1
"CAMK2G"	"FGF12"	"activated by; inhibite"	"<-|"	1
"CAMK2G"	"FGF13"	"activated by; inhibit"	"<-|"	1
"CAMK2G"	"FGF14"	"activated by; inhibit"	"<-|"	1
"CAMK2G"	"FLNA"	"PPrel: phosphorylation"	"->"	1
"CAMK2G"	"FLNB"	"PPrel: phosphorylation"	"->"	1
"CAMK2G"	"FLNC"	"PPrel: phosphorylation"	"->"	1
"CAMK2G"	"FOXO1"	"PPrel: activation, phosphorylation, indirect effect"	"->"	1
"CAMK2G"	"GRIA1"	"PPrel: activation, phosphorylation; activate; catalyze"	"->"	1
"CAMK2G"	"GRIA2"	"PPrel: activation, phosphorylation; activate; catalyze"	"->"	1
"CAMK2G"	"GRIA3"	"activate; catalyze"	"->"	1
"CAMK2G"	"GRIA4"	"activate; catalyze"	"->"	1
"CAMK2G"	"GRIN1"	"complex; input"	"-"	1
"CAMK2G"	"GRIN2B"	"complex; input"	"-"	1
"CAMK2G"	"GRM1"	"PPrel: activation"	"->"	1
"CAMK2G"	"GRM5"	"PPrel: activation"	"->"	1
"CAMK2G"	"HRAS"	"PPrel: activation, indirect effect"	"->"	1
"CAMK2G"	"HSF1"	"catalyze"	"->"	1
"CAMK2G"	"IFNG"	"activated by; catalyze"	"<->"	1
"CAMK2G"	"IFNGR1"	"activated by; catalyze"	"<->"	1
"CAMK2G"	"IFNGR2"	"catalyze"	"->"	1
"CAMK2G"	"ITPR1"	"PPrel: activated, indirect effect"	"<-"	1
"CAMK2G"	"ITPR2"	"PPrel: activated, indirect effect"	"<-"	1
"CAMK2G"	"ITPR3"	"PPrel: activated, indirect effect"	"<-"	1
"CAMK2G"	"JAK1"	"activated by; catalyze"	"<->"	1
"CAMK2G"	"JAK2"	"activated by; catalyze"	"<->"	1
"CAMK2G"	"KRAS"	"PPrel: activation, indirect effect"	"->"	1
"CAMK2G"	"LRRC7"	"complex; input"	"-"	1
"CAMK2G"	"MAPK1"	"PPrel: activation, indirect effect; PPrel: indirect effect"	"->"	1
"CAMK2G"	"MAPK3"	"PPrel: activation, indirect effect; PPrel: indirect effect"	"->"	1
"CAMK2G"	"MDM2"	"catalyze"	"->"	1
"CAMK2G"	"MEF2B"	"activate"	"->"	1
"CAMK2G"	"MEF2C"	"activate"	"->"	1
"CAMK2G"	"MEF2D"	"activate"	"->"	1
"CAMK2G"	"MYO6"	"catalyze"	"->"	1
"CAMK2G"	"NEFL"	"complex; input"	"-"	1
"CAMK2G"	"NOS1"	"PPrel: activation, phosphorylation"	"->"	1
"CAMK2G"	"NOS3"	"PPrel: activation"	"->"	1
"CAMK2G"	"NR1H2"	"predicted"	"-"	0.64
"CAMK2G"	"NRAS"	"PPrel: activation, indirect effect"	"->"	1
"CAMK2G"	"PDE10A"	"PPrel: inhibition, phosphorylation"	"-|"	1
"CAMK2G"	"PDE3A"	"PPrel: inhibition, phosphorylation"	"-|"	1
"CAMK2G"	"PDE3B"	"PPrel: inhibition, phosphorylation"	"-|"	1
"CAMK2G"	"PDE4A"	"PPrel: inhibition, phosphorylation"	"-|"	1
"CAMK2G"	"PDE4B"	"PPrel: inhibition, phosphorylation"	"-|"	1
"CAMK2G"	"PDE4C"	"PPrel: inhibition, phosphorylation"	"-|"	1
"CAMK2G"	"PDE4D"	"PPrel: inhibition, phosphorylation"	"-|"	1
"CAMK2G"	"PIK3C3"	"PPrel: activation"	"->"	1
"CAMK2G"	"PLCB1"	"PPrel: compound"	"-"	1
"CAMK2G"	"PLCB2"	"PPrel: compound"	"-"	1
"CAMK2G"	"PLCB3"	"PPrel: compound"	"-"	1
"CAMK2G"	"PLCB4"	"PPrel: compound"	"-"	1
"CAMK2G"	"PLCG1"	"PPrel: compound"	"-"	1
"CAMK2G"	"PLCG1 VARIANT PROTEIN"	"PPrel: compound"	"-"	1
"CAMK2G"	"PLCG2"	"PPrel: compound"	"-"	1
"CAMK2G"	"PLN"	"inhibited by"	"|-"	1
"CAMK2G"	"PPID"	"PPrel: activation, indirect effect"	"->"	1
"CAMK2G"	"PPM1F"	"catalyzed by"	"<-"	1
"CAMK2G"	"PPP1CA"	"PPrel: inhibited by"	"|-"	1
"CAMK2G"	"PPP1CB"	"PPrel: inhibited by"	"|-"	1
"CAMK2G"	"PPP1CC"	"PPrel: inhibited by"	"|-"	1
"CAMK2G"	"RANGRF"	"activated by; inhibit"	"<-|"	1
"CAMK2G"	"RAP1A"	"PPrel: activation"	"->"	1
"CAMK2G"	"RAP1B"	"PPrel: activation"	"->"	1
"CAMK2G"	"RIPK3"	"PPrel: activated by, phosphorylation"	"<-"	1
"CAMK2G"	"RYR2"	"PPrel: activation, phosphorylation"	"->"	1
"CAMK2G"	"SCN1B"	"PPrel: activation, phosphorylation; reaction"	"->"	1
"CAMK2G"	"SCN4B"	"PPrel: activation, phosphorylation"	"->"	1
"CAMK2G"	"SCN5A"	"PPrel: activation, phosphorylation; reaction"	"->"	1
"CAMK2G"	"SCN7A"	"PPrel: activation, phosphorylation"	"->"	1
"CAMK2G"	"SLC25A31"	"PPrel: activation, indirect effect"	"->"	1
"CAMK2G"	"SLC25A4"	"PPrel: activation, indirect effect"	"->"	1
"CAMK2G"	"SLC25A5"	"PPrel: activation, indirect effect"	"->"	1
"CAMK2G"	"SLC25A6"	"PPrel: activation, indirect effect"	"->"	1
"CAMK2G"	"SLC6A3"	"PPrel: activation"	"->"	1
"CAMK2G"	"SLN"	"activate; inhibited by"	"|->"	1
"CAMK2G"	"SQSTM1"	"predicted"	"-"	0.64
"CAMK2G"	"SRI"	"reaction"	"-"	1
"CAMK2G"	"STAT1"	"PPrel: activation, phosphorylation; activate; catalyze"	"->"	1
"CAMK2G"	"TRPV1"	"PPrel: activation, phosphorylation"	"->"	1
"CAMK2G"	"VDAC1"	"PPrel: activation, indirect effect"	"->"	1
"CAMK2G"	"VDAC2"	"PPrel: activation, indirect effect"	"->"	1
"CAMK2G"	"VDAC3"	"PPrel: activation, indirect effect"	"->"	1
"CAMSAP3"	"TUBB3"	"predicted"	"-"	0.64
"CANX"	"HLA-DPA1"	"complex; input"	"-"	1
"CANX"	"HLA-DRB5"	"complex; input"	"-"	1
"CAPN1"	"JAK2"	"activate; complex; input; reaction"	"->"	1
"CAPN2"	"SRC"	"complex; input"	"-"	1
"CAPZA1"	"CD59"	"complex; input"	"-"	1
"CAPZA1"	"HLA-DPA1"	"input"	"-"	1
"CAPZA1"	"HLA-DRB5"	"input"	"-"	1
"CAPZA1"	"KDELR1"	"complex; input"	"-"	1
"CAPZA1"	"SPTB"	"complex; input"	"-"	1
"CAPZA2"	"CD59"	"complex; input"	"-"	1
"CAPZA2"	"HLA-DPA1"	"input"	"-"	1
"CAPZA2"	"HLA-DRB5"	"input"	"-"	1
"CAPZA2"	"KDELR1"	"complex; input"	"-"	1
"CAPZA2"	"SPTB"	"complex; input"	"-"	1
"CAPZA3"	"CD59"	"complex; input"	"-"	1
"CAPZA3"	"HLA-DPA1"	"input"	"-"	1
"CAPZA3"	"HLA-DRB5"	"input"	"-"	1
"CAPZA3"	"KDELR1"	"complex; input"	"-"	1
"CAPZA3"	"SPTB"	"complex; input"	"-"	1
"CAPZB"	"CD59"	"complex; input"	"-"	1
"CAPZB"	"HLA-DPA1"	"input"	"-"	1
"CAPZB"	"HLA-DRB5"	"input"	"-"	1
"CAPZB"	"KDELR1"	"complex; input"	"-"	1
"CAPZB"	"SPTB"	"complex; input"	"-"	1
"CARM1"	"MED10"	"reaction"	"-"	1
"CARM1"	"MED11"	"reaction"	"-"	1
"CARM1"	"MED17"	"reaction"	"-"	1
"CARM1"	"MED23"	"reaction"	"-"	1
"CARM1"	"PRKACB"	"PPrel: activated by, phosphorylation"	"<-"	1
"CARM1"	"SRC"	"PPrel: activated by, phosphorylation; PPrel: binding/association; activate; inhibited by"	"->"	1
"CASC3"	"NCBP2"	"complex; input"	"-"	1
"CASC3"	"NUP205"	"activated by; catalyzed by; complex; input"	"<-"	1
"CASC3"	"PPP2CA"	"complex; input"	"-"	1
"CASC3"	"SLU7"	"complex; input"	"-"	1
"CASC3"	"SMG1"	"complex; input"	"-"	1
"CASP10"	"DDX58"	"complex; input"	"-"	1
"CASP10"	"MAP2K4"	"activate"	"->"	1
"CASP3"	"PPP2CA"	"predicted"	"-"	0.64
"CASP8"	"DDX58"	"complex; input"	"-"	1
"CASP8"	"PTEN"	"predicted"	"-"	0.64
"CASP8AP2"	"PHC3"	"catalyzed by"	"<-"	1
"CASS4"	"PXN"	"predicted"	"-"	0.54
"CASS4"	"SRC"	"predicted"	"-"	0.97
"CASTOR1"	"RPTOR"	"activate"	"->"	1
"CASTOR2"	"RPTOR"	"activate"	"->"	1
"CAV1"	"FN1"	"complex; input"	"-"	1
"CAV1"	"PPP2CA"	"predicted"	"-"	0.64
"CAV1"	"PRKACB"	"activate"	"->"	1
"CAV1"	"PTEN"	"predicted"	"-"	0.64
"CAV1"	"SRC"	"PPrel: phosphorylated by; activated by"	"<-"	1
"CAV1"	"TGFB1"	"complex; inhibited by; input"	"|-"	1
"CAV2"	"SRC"	"PPrel: phosphorylated by"	"<-"	1
"CAV3"	"SRC"	"PPrel: phosphorylated by"	"<-"	1
"CAVIN1"	"GTF2H2"	"complex; input"	"-"	1
"CBFB"	"TGFB1"	"activated by"	"<-"	1
"CBL"	"EPN1"	"complex; input"	"-"	1
"CBL"	"JAK1"	"activated by; complex; input"	"<-"	1
"CBL"	"JAK2"	"activated by; complex; input"	"<-"	1
"CBL"	"KIT"	"complex; input"	"-"	1
"CBL"	"PPP2CA"	"input"	"-"	1
"CBL"	"PTEN"	"predicted"	"-"	0.64
"CBL"	"SRC"	"activated by; complex; input"	"<-"	1
"CBLB"	"SRC"	"predicted"	"-"	0.64
"CBLC"	"UBE2L6"	"predicted"	"-"	0.64
"CBLL1"	"PPP2CA"	"predicted"	"-"	0.56
"CBLL2"	"PPP2CA"	"predicted"	"-"	0.56
"CBX2"	"PHC3"	"complex"	"-"	1
"CBX3"	"GTF2H2"	"activate"	"->"	1
"CBX3"	"RPS6KA5"	"PPrel: activated by, phosphorylation"	"<-"	1
"CBX4"	"PHC3"	"complex"	"-"	1
"CBX5"	"PPP2CA"	"predicted"	"-"	0.58
"CBX6"	"PHC3"	"complex"	"-"	1
"CBX8"	"PHC3"	"complex"	"-"	1
"CC2D2A"	"CEP135"	"complex; input"	"-"	1
"CC2D2A"	"ODF2"	"complex; input"	"-"	1
"CCAR1"	"NCBP2"	"complex; input"	"-"	1
"CCAR1"	"SLU7"	"input"	"-"	1
"CCAR2"	"RPS19BP1"	"activated by; inhibite"	"<-|"	1
"CCDC120"	"ODF2"	"predicted"	"-"	0.64
"CCL5"	"TGFB1"	"predicted"	"-"	0.64
"CCN2"	"FN1"	"predicted"	"-"	0.64
"CCNA1"	"CDKN1B"	"PPrel: inhibited by"	"|-"	1
"CCNA2"	"CDKN1B"	"PPrel: inhibited by"	"|-"	1
"CCNA2"	"SRC"	"predicted"	"-"	0.64
"CCNB1"	"CDKN1B"	"predicted"	"-"	0.98
"CCNB1"	"MAD1L1"	"catalyze"	"->"	1
"CCNB1"	"NUP205"	"catalyze"	"->"	1
"CCNB1"	"ORC3"	"complex; input"	"-"	1
"CCNB1"	"ORC5"	"complex; input"	"-"	1
"CCNB2"	"MAD1L1"	"catalyze"	"->"	1
"CCNB2"	"NUP205"	"catalyze"	"->"	1
"CCNC"	"MED10"	"complex; input"	"-"	1
"CCNC"	"MED11"	"complex"	"-"	1
"CCNC"	"MED17"	"complex; input"	"-"	1
"CCNC"	"MED23"	"complex; input"	"-"	1
"CCNC"	"TGFB1"	"activate; inhibited by"	"|->"	1
"CCND1"	"CDKN1B"	"PPrel: binding/association; PPrel: inhibited by; activated by; complex; input"	"-"	1
"CCND1"	"SP3"	"expression regulated by"	"<-"	1
"CCND1"	"SRC"	"predicted"	"-"	0.64
"CCND2"	"CDKN1B"	"PPrel: binding/association; PPrel: inhibited by"	"|-"	1
"CCND3"	"CDKN1B"	"PPrel: binding/association; PPrel: inhibited by; predicted"	"|-"	1
"CCND3"	"MED10"	"reaction"	"-"	1
"CCND3"	"MED11"	"reaction"	"-"	1
"CCND3"	"MED17"	"reaction"	"-"	1
"CCND3"	"MED23"	"reaction"	"-"	1
"CCNE1"	"CDKN1B"	"PPrel: inhibited by; PPrel: inhibition, phosphorylation; complex; predicted"	"|-|"	1
"CCNE1"	"JAK2"	"activate"	"->"	1
"CCNE1"	"ORC3"	"complex; input"	"-"	1
"CCNE1"	"RPTOR"	"reaction"	"-"	1
"CCNE2"	"CDKN1B"	"PPrel: inhibited by; PPrel: inhibition, phosphorylation; complex"	"|-|"	1
"CCNE2"	"ORC3"	"predicted"	"-"	0.64
"CCNG1"	"PPP2CA"	"complex; input"	"-"	1
"CCNG1"	"PPP2R5E"	"predicted"	"-"	0.77
"CCNG2"	"PPP2R5E"	"predicted"	"-"	0.77
"CCNH"	"CDKN1B"	"catalyze"	"->"	1
"CCNH"	"GTF2H2"	"catalyze; catalyzed by; complex; input"	"<->"	1
"CCNH"	"NCBP2"	"input"	"-"	1
"CCNH"	"SUPT6H"	"complex; input"	"-"	1
"CCNH"	"TAF5"	"catalyze; complex; input"	"->"	1
"CCNH"	"XPC"	"complex; input"	"-"	1
"CCNK"	"GTF2H2"	"complex; input"	"-"	1
"CCNK"	"NCBP2"	"catalyze; complex; input"	"->"	1
"CCNK"	"POU2F2"	"complex; input"	"-"	1
"CCNK"	"SUPT6H"	"complex; input"	"-"	1
"CCNK"	"TAF5"	"complex; input"	"-"	1
"CCNK"	"ZNF143"	"complex; expression regulated by; input"	"<-"	1
"CCNT1"	"GTF2H2"	"complex; input"	"-"	1
"CCNT1"	"NCBP2"	"catalyze; complex; input"	"->"	1
"CCNT1"	"POU2F2"	"complex; input"	"-"	1
"CCNT1"	"SUPT6H"	"complex; input"	"-"	1
"CCNT1"	"TAF5"	"complex; input"	"-"	1
"CCNT1"	"ZNF143"	"complex; input"	"-"	1
"CCNT2"	"GTF2H2"	"complex; input"	"-"	1
"CCNT2"	"MED23"	"predicted"	"-"	0.65
"CCNT2"	"NCBP2"	"catalyze; complex; input"	"->"	1
"CCNT2"	"POU2F2"	"complex; input"	"-"	1
"CCNT2"	"SUPT6H"	"complex; input"	"-"	1
"CCNT2"	"TAF5"	"complex; input"	"-"	1
"CCNT2"	"ZNF143"	"complex; input"	"-"	1
"CCP110"	"CEP135"	"complex"	"-"	1
"CCP110"	"MZT2B"	"complex; input"	"-"	1
"CCP110"	"ODF2"	"complex"	"-"	1
"CCPG1"	"SRC"	"predicted"	"-"	0.54
"CCR1"	"JAK1"	"predicted"	"-"	0.64
"CCR1"	"JAK2"	"PPrel: activation"	"->"	1
"CCR10"	"JAK2"	"PPrel: activation"	"->"	1
"CCR2"	"JAK2"	"PPrel: activation"	"->"	1
"CCR3"	"JAK2"	"PPrel: activation"	"->"	1
"CCR4"	"JAK2"	"PPrel: activation"	"->"	1
"CCR5"	"JAK2"	"PPrel: activation"	"->"	1
"CCR5"	"POU2F2"	"expression regulated by"	"<-"	1
"CCR6"	"JAK2"	"PPrel: activation"	"->"	1
"CCR7"	"JAK2"	"PPrel: activation"	"->"	1
"CCR7"	"POU2F2"	"expression regulated by"	"<-"	1
"CCR8"	"JAK2"	"PPrel: activation"	"->"	1
"CCR9"	"JAK2"	"PPrel: activation"	"->"	1
"CCT2"	"TUBB3"	"complex; input"	"-"	1
"CCT3"	"CLGN"	"predicted"	"-"	0.56
"CCT3"	"TUBB3"	"complex; input"	"-"	1
"CCT4"	"CLGN"	"predicted"	"-"	0.56
"CCT4"	"TUBB3"	"complex; input"	"-"	1
"CCT5"	"PPP2CA"	"predicted"	"-"	0.58
"CCT5"	"TUBB3"	"complex; input"	"-"	1
"CCT6A"	"TUBB3"	"complex; input"	"-"	1
"CCT6B"	"CLGN"	"predicted"	"-"	0.56
"CCT7"	"TUBB3"	"complex; input"	"-"	1
"CCT8"	"CLGN"	"predicted"	"-"	0.56
"CCT8"	"TUBB3"	"complex; input"	"-"	1
"CD101"	"HLA-DPA1"	"inhibite"	"-|"	1
"CD101"	"HLA-DRB5"	"inhibite"	"-|"	1
"CD109"	"TGFB1"	"predicted"	"-"	0.64
"CD14"	"SP3"	"expression regulated by"	"<-"	1
"CD151"	"CD63"	"predicted"	"-"	0.92
"CD151"	"COL17A1"	"complex; input"	"-"	1
"CD151"	"DST"	"complex; input"	"-"	1
"CD151"	"ITGA6"	"complex; input"	"-"	1
"CD151"	"ITGB4"	"complex; input"	"-"	1
"CD151"	"LAMA3"	"complex; input"	"-"	1
"CD151"	"LAMB3"	"complex; input"	"-"	1
"CD151"	"LAMC2"	"complex; input"	"-"	1
"CD151"	"PLEC"	"complex; input"	"-"	1
"CD163"	"HP"	"complex; input"	"-"	1
"CD2"	"CD59"	"predicted"	"-"	0.64
"CD2"	"JAK2"	"reaction"	"-"	1
"CD2"	"LGALS1"	"predicted"	"-"	0.64
"CD209"	"TGFB1"	"PPrel: activation, indirect effect"	"->"	1
"CD22"	"FN1"	"predicted"	"-"	0.54
"CD22"	"LGALS3BP"	"predicted"	"-"	0.54
"CD22"	"POU2F2"	"expression regulated by"	"<-"	1
"CD247"	"ELMO2"	"complex; input"	"-"	1
"CD247"	"HLA-DPA1"	"PPrel: activated by; catalyze; catalyzed by; complex; input"	"<->"	1
"CD247"	"HLA-DRB5"	"PPrel: activated by; catalyze; catalyzed by; complex; input"	"<->"	1
"CD247"	"JAK2"	"activate; complex; inhibited by; input; reaction"	"|->"	1
"CD247"	"MAP4K1"	"activate"	"->"	1
"CD247"	"SRC"	"catalyzed by"	"<-"	1
"CD274"	"HLA-DPA1"	"catalyze"	"->"	1
"CD274"	"HLA-DRB5"	"catalyze"	"->"	1
"CD28"	"JAK2"	"activate"	"->"	1
"CD28"	"SRC"	"catalyzed by"	"<-"	1
"CD2AP"	"SRC"	"predicted"	"-"	0.98
"CD2BP2"	"NCBP2"	"complex; input"	"-"	1
"CD2BP2"	"SLU7"	"input"	"-"	1
"CD33"	"FN1"	"predicted"	"-"	0.54
"CD33"	"LGALS3BP"	"predicted"	"-"	0.54
"CD36"	"PXN"	"predicted"	"-"	0.64
"CD36"	"SRC"	"predicted"	"-"	0.64
"CD37"	"MAP4K1"	"predicted"	"-"	0.59
"CD3D"	"HLA-DPA1"	"catalyze; catalyzed by; complex; input"	"<->"	1
"CD3D"	"HLA-DRB5"	"catalyze; catalyzed by; complex; input"	"<->"	1
"CD3D"	"JAK2"	"activate; complex; inhibited by; input; reaction"	"|->"	1
"CD3D"	"MAP4K1"	"activate"	"->"	1
"CD3E"	"HLA-DPA1"	"catalyze; catalyzed by; complex; input"	"<->"	1
"CD3E"	"HLA-DRB5"	"catalyze; catalyzed by; complex; input"	"<->"	1
"CD3E"	"JAK2"	"activate; complex; inhibited by; input; reaction"	"|->"	1
"CD3E"	"LGALS1"	"predicted"	"-"	0.64
"CD3E"	"MAP4K1"	"activate"	"->"	1
"CD3EAP"	"GTF2H2"	"complex; input"	"-"	1
"CD3G"	"ELMO2"	"complex; input"	"-"	1
"CD3G"	"HLA-DPA1"	"catalyze; catalyzed by; complex; input"	"<->"	1
"CD3G"	"HLA-DRB5"	"catalyze; catalyzed by; complex; input"	"<->"	1
"CD3G"	"JAK2"	"activate; complex; inhibited by; input; reaction"	"|->"	1
"CD3G"	"MAP4K1"	"activate"	"->"	1
"CD3G"	"SRC"	"catalyzed by"	"<-"	1
"CD4"	"HLA-DPA1"	"PPrel: activated by; PPrel: binding/association; catalyze; catalyzed by; complex; input"	"<->"	1
"CD4"	"HLA-DRB5"	"PPrel: activated by; PPrel: binding/association; catalyze; catalyzed by; complex; input"	"<->"	1
"CD4"	"JAK2"	"reaction"	"-"	1
"CD4"	"LGALS1"	"predicted"	"-"	0.64
"CD4"	"MAP4K1"	"activate"	"->"	1
"CD40"	"MAP2K4"	"activate"	"->"	1
"CD40"	"SP3"	"predicted"	"-"	0.54
"CD40LG"	"JAK1"	"reaction"	"-"	1
"CD40LG"	"MAP2K4"	"activate"	"->"	1
"CD44"	"FN1"	"PPrel: activated by"	"<-"	1
"CD47"	"SRC"	"catalyzed by"	"<-"	1
"CD55"	"SPTB"	"complex; input"	"-"	1
"CD59"	"CD8A"	"predicted"	"-"	0.64
"CD59"	"CD9"	"predicted"	"-"	0.58
"CD59"	"COG1"	"complex; input"	"-"	1
"CD59"	"COG2"	"complex; input"	"-"	1
"CD59"	"COG3"	"complex; input"	"-"	1
"CD59"	"COG4"	"complex; input"	"-"	1
"CD59"	"COG5"	"complex; input"	"-"	1
"CD59"	"COG6"	"complex; input"	"-"	1
"CD59"	"COG7"	"complex; input"	"-"	1
"CD59"	"COG8"	"complex; input"	"-"	1
"CD59"	"COPA"	"complex; input"	"-"	1
"CD59"	"COPB1"	"complex; input"	"-"	1
"CD59"	"COPB2"	"complex; input"	"-"	1
"CD59"	"COPE"	"complex; input"	"-"	1
"CD59"	"COPG1"	"complex; input"	"-"	1
"CD59"	"COPG2"	"complex; input"	"-"	1
"CD59"	"COPZ1"	"complex; input"	"-"	1
"CD59"	"COPZ2"	"complex; input"	"-"	1
"CD59"	"CSNK1D"	"catalyzed by"	"<-"	1
"CD59"	"DCTN1"	"complex; input"	"-"	1
"CD59"	"DCTN2"	"complex; input"	"-"	1
"CD59"	"DCTN3"	"complex; input"	"-"	1
"CD59"	"DCTN4"	"complex; input"	"-"	1
"CD59"	"DCTN5"	"complex; input"	"-"	1
"CD59"	"DCTN6"	"complex; input"	"-"	1
"CD59"	"DYNC1H1"	"complex; input"	"-"	1
"CD59"	"DYNC1I1"	"complex; input"	"-"	1
"CD59"	"DYNC1I2"	"complex; input"	"-"	1
"CD59"	"DYNC1LI1"	"complex; input"	"-"	1
"CD59"	"DYNC1LI2"	"complex; input"	"-"	1
"CD59"	"DYNLL1"	"complex; input"	"-"	1
"CD59"	"DYNLL2"	"complex; input"	"-"	1
"CD59"	"EGFR"	"predicted"	"-"	0.64
"CD59"	"GBF1"	"complex; input"	"-"	1
"CD59"	"GOLGA2"	"complex; input"	"-"	1
"CD59"	"GOLGB1"	"complex; input"	"-"	1
"CD59"	"GORASP1"	"complex; input"	"-"	1
"CD59"	"GOSR1"	"complex; input"	"-"	1
"CD59"	"GOSR2"	"complex; input"	"-"	1
"CD59"	"RAB1A"	"complex; input"	"-"	1
"CD59"	"RAB1B"	"complex; input"	"-"	1
"CD59"	"SAR1B"	"complex; input"	"-"	1
"CD59"	"SCFD1"	"input"	"-"	1
"CD59"	"SEC13"	"complex; input"	"-"	1
"CD59"	"SEC16A"	"complex; input"	"-"	1
"CD59"	"SEC16B"	"complex; input"	"-"	1
"CD59"	"SEC22B"	"complex; input"	"-"	1
"CD59"	"SEC23A"	"complex; input"	"-"	1
"CD59"	"SEC23IP"	"complex; input"	"-"	1
"CD59"	"SEC24A"	"complex; input"	"-"	1
"CD59"	"SEC24B"	"complex; input"	"-"	1
"CD59"	"SEC24C"	"complex; input"	"-"	1
"CD59"	"SEC24D"	"complex; input"	"-"	1
"CD59"	"SEC31A"	"complex; input"	"-"	1
"CD59"	"SPTA1"	"complex; input"	"-"	1
"CD59"	"SPTAN1"	"complex; input"	"-"	1
"CD59"	"SPTB"	"complex; input"	"-"	1
"CD59"	"SPTBN1"	"complex; input"	"-"	1
"CD59"	"SPTBN2"	"complex; input"	"-"	1
"CD59"	"SPTBN4"	"complex; input"	"-"	1
"CD59"	"SPTBN5"	"complex; input"	"-"	1
"CD59"	"STX5"	"complex; input"	"-"	1
"CD59"	"TFG"	"complex; input"	"-"	1
"CD59"	"TMED10"	"complex; input"	"-"	1
"CD59"	"TMED2"	"complex; input"	"-"	1
"CD59"	"TMED3"	"complex; input"	"-"	1
"CD59"	"TMED7"	"complex; input"	"-"	1
"CD59"	"TMED9"	"complex; input"	"-"	1
"CD59"	"TMEM115"	"complex; input"	"-"	1
"CD59"	"TRAPPC1"	"complex; input"	"-"	1
